X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId
-7916048.65876229,5217074.94105743,M32013,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,Cambridge,Yes,19,93
-7914197.41563039,5217013.16143544,M32007,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,Cambridge,Yes,15,94
-7910951.61089842,5215248.57721241,D32000,Cambridge St at Joy St,42.36125722,-71.06528744,Boston,Yes,15,95
-7912232.37948862,5216124.9461451,M32019,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.36707407,-71.07679278,Cambridge,Yes,15,96
-7910465.64232178,5215857.79858398,A32046,Canal St at Causeway St,42.36530095,-71.06092191,Boston,Yes,23,97
-7907102.43671523,5220806.07042129,H32001,Cary Square,42.39813565,-71.03070972,Chelsea,Yes,12,98
-7911852.36035054,5201652.8067643,C32088,Central Ave at River St,42.27094707,-71.07337901,Boston,Yes,0,99
-7915427.49600366,5216027.30364475,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge,Yes,17,100
-7915160.88582321,5215823.00300041,M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,Yes,19,101
-7908045.95511571,5217386.87855526,A32041,Central Square East Boston,42.37544913,-71.03918549,Boston,Yes,14,102
-7921193.12316326,5203432.93994924,C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Boston,Yes,19,103
-7916407.45261306,5207848.82415858,E32008,Centre St at Seaverns Ave,42.3121203,-71.1142981,Boston,Yes,0,104
-7920765.5494519,5203967.55640049,C32085,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,Boston,Yes,19,105
-7924435.962344,5214417.93026719,N32000,Centre St at Washington St,42.35574335,-71.18641943,Newton,Yes,11,106
-7911608.63857059,5215178.63661909,D32016,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,Boston,Yes,19,107
-7909785.49025178,5217187.28305963,D32039,Charlestown Navy Yard,42.37412455,-71.054812,Boston,Yes,23,108
-7907977.45911983,5219613.93666105,H32003,Chelsea Square,42.39022671,-71.03857018,Chelsea,Yes,11,109
-7908985.59291874,5221581.65738919,V32009,Chelsea St at Vine St,42.40328057,-71.0476264,Everett,Yes,15,110
-7908122.35368224,5220539.20519478,H32005,Chelsea Station,42.39636528,-71.03987179,Chelsea,Yes,11,111
-7911699.40180421,5216863.65340556,M32049,Child Street at Brian P. Murphy Staircase,42.37197678,-71.07200496,Cambridge,Yes,23,112
-7917905.35654923,5204078.9094055,C32047,Roslindale Village - South St,42.287072,-71.127754,Boston,Yes,15,113
-7917955.59726181,5203963.82012891,C32046,Roslindale Village - Washington St,42.28630716,-71.12820532,Boston,Yes,15,114
