,Unnamed: 0,electricity-kWh,startDay,endDay,RH-%,T-C,Tdew-C,pressure-mbar,solarRadiation-W/m2,windDirection,windSpeed-m/s,humidityRatio-kg/kg,coolingDegrees,heatingDegrees,dehumidification,occupancy
21,2012-01-22,4086.75564336404,2012-01-22,2012-01-23,66.75,-4.79166666666667,-9.48333333333333,1024.625,83.3333333333333,220.416666666667,3.99305875,0.00177629677497313,0.0,19.7916666666667,0.0,0.3
22,2012-01-23,6133.5951301977,2012-01-23,2012-01-24,83.7083333333333,2.54166666666667,-0.00833333333333382,1016.29166666667,44.25,155.833333333333,2.30324258333333,0.00391566950494161,0.0,12.4583333333333,0.0,0.970833333333333
23,2012-01-24,6184.18866260163,2012-01-24,2012-01-25,72.25,10.0833333333333,4.79166666666667,1004.41666666667,91.9583333333333,252.916666666667,4.82639275,0.00554692492950863,0.166666666666667,4.91666666666667,0.0,1.0
24,,,,,,,,,,,,,,,,
25,2012-01-26,6066.26546101924,2012-01-26,2012-01-27,72.6666666666667,1.79166666666667,-2.75416666666667,1012.58333333333,85.125,222.916666666667,3.58796583333333,0.00308928765464969,0.0,13.2083333333333,0.0,1.0
26,,,,,,,,,,,,,,,,
27,2012-01-28,4156.0912947543,2012-01-28,2012-01-29,60.125,4.83333333333333,-2.33333333333333,1003.125,114.333333333333,248.333333333333,5.40509691666667,0.00321154005577112,0.0,10.1666666666667,0.0,0.5
28,2012-01-29,4626.33454072475,2012-01-29,2012-01-30,41.6666666666667,3.58333333333333,-8.35833333333333,1007.79166666667,128.25,256.25,6.09954191666667,0.00202635440827221,0.0,11.4166666666667,0.0,0.5
29,2012-01-30,6501.38637354597,2012-01-30,2012-01-31,55.125,1.25833333333333,-6.86666666666667,1011.79166666667,123.083333333333,264.166666666667,4.62963333333333,0.00225832517746387,0.0,13.7416666666667,0.0,1.0
30,2012-02-02,6597.07467295695,2012-02-02,2012-02-03,65.375,3.58333333333333,-2.42083333333333,1009.0,57.0,142.083333333333,4.88426316666667,0.00316916308526458,0.0,11.4166666666667,0.0,1.0
31,2012-02-03,6486.08423753735,2012-02-03,2012-02-04,47.0833333333333,0.208333333333333,-9.6625,1017.41666666667,135.541666666667,258.333333333333,4.49074433333333,0.00174258955186728,0.0,14.7916666666667,0.0,1.0
32,2012-02-04,4707.62288763747,2012-02-04,2012-02-05,46.375,2.58333333333333,-7.72083333333333,1013.33333333333,135.125,303.75,5.17361525,0.00211438448579456,0.0,12.4166666666667,0.0,0.5
33,2012-02-05,4725.59591451474,2012-02-05,2012-02-06,43.0,-1.70833333333333,-11.6291666666667,1011.54166666667,141.125,272.083333333333,3.18287291666667,0.00139933532106505,0.0,16.7083333333333,0.0,0.5
34,2012-02-06,6489.82197424397,2012-02-06,2012-02-07,45.7083333333333,3.75,-7.34166666666667,1005.41666666667,139.416666666667,247.083333333333,5.7638935,0.0022092260446262,0.0,11.25,0.0,1.0
35,2012-02-07,6769.17323942296,2012-02-07,2012-02-08,50.125,4.41666666666667,-5.20833333333333,1007.75,123.166666666667,298.75,4.6527815,0.00258838946165568,0.0,10.5833333333333,0.0,1.0
36,2012-02-08,6629.64803938754,2012-02-08,2012-02-09,39.4166666666667,-1.04166666666667,-12.3083333333333,1014.79166666667,122.0,260.416666666667,3.46065091666667,0.0013542982433202,0.0,16.0416666666667,0.0,1.0
37,,,,,,,,,,,,,,,,
38,2012-02-10,6189.67474545259,2012-02-10,2012-02-11,41.8333333333333,5.125,-7.18333333333333,1008.125,147.791666666667,231.666666666667,5.18518933333333,0.00224749121192531,0.0,9.875,0.0,1.0
39,2012-02-11,4502.67710303422,2012-02-11,2012-02-12,78.3333333333333,1.83333333333333,-1.67916666666667,997.333333333333,47.375,241.666666666667,4.67592966666667,0.00342834042336773,0.0,13.1666666666667,0.0,0.5
40,2012-02-12,5065.43719177507,2012-02-12,2012-02-13,38.625,-5.5,-15.8041666666667,997.0,156.958333333333,314.166666666667,7.51158008333334,0.000983893665941075,0.0,20.5,0.0,0.5
41,,,,,,,,,,,,,,,,
42,2012-02-14,6443.45619870909,2012-02-14,2012-02-15,47.7916666666667,2.25,-8.1,1009.66666666667,111.666666666667,223.333333333333,2.82407633333333,0.00205446519805538,0.0,12.75,0.0,1.0
43,,,,,,,,,,,,,,,,
44,2012-02-16,6148.27668876294,2012-02-16,2012-02-17,73.875,4.29166666666667,-0.1625,1013.79166666667,109.041666666667,225.833333333333,2.74305775,0.0037570005453259,0.0,10.7083333333333,0.0,1.0
45,,,,,,,,,,,,,,,,
46,2012-02-18,4422.63295402378,2012-02-18,2012-02-19,49.125,4.375,-5.875,1004.25,152.708333333333,289.166666666667,5.98380108333333,0.00247528502821006,0.0,10.625,0.0,0.5
47,2012-02-19,4597.08076713141,2012-02-19,2012-02-20,52.375,2.79166666666667,-6.41666666666667,1007.79166666667,172.708333333333,233.333333333333,3.86574383333333,0.0023707053120886,0.0,12.2083333333333,0.0,0.5
48,2012-02-20,5994.10679479782,2012-02-20,2012-02-21,40.75,0.791666666666667,-10.6375,1011.08333333333,172.5,333.333333333333,4.97685583333333,0.00157549701473637,0.0,14.2083333333333,0.0,1.0
49,2012-02-21,6348.51580926776,2012-02-21,2012-02-22,55.25,1.83333333333333,-6.59166666666667,1013.95833333333,165.166666666667,231.666666666667,4.27083675,0.00237983304871572,0.0,13.1666666666667,0.0,1.0
50,2012-02-22,6160.9738659123,2012-02-22,2012-02-23,63.875,7.8375,0.341666666666667,996.291666666667,149.5,225.833333333333,4.29398491666667,0.00401452434325476,0.1375,7.1625,0.0,1.0
51,,,,,,,,,,,,,,,,
52,2012-02-24,5865.92973427754,2012-02-24,2012-02-25,76.7916666666667,3.83333333333333,-0.220833333333334,995.083333333333,22.75,130.0,3.49537316666667,0.00389162522541694,0.0,11.1666666666667,0.0,1.0
53,2012-02-25,4257.47400455084,2012-02-25,2012-02-26,51.7916666666667,4.25,-5.2625,986.541666666667,121.791666666667,271.666666666667,10.0463043333333,0.00270075234448497,0.0,10.75,0.0,0.5
54,2012-02-26,4545.81550596748,2012-02-26,2012-02-27,30.7083333333333,1.16666666666667,-13.525,1013.79166666667,193.041666666667,296.25,7.03704266666667,0.00121567718604757,0.0,13.8333333333333,0.0,0.5
55,2012-02-27,6341.98897643946,2012-02-27,2012-02-28,47.8333333333333,3.95833333333333,-5.8375,1016.83333333333,170.875,219.583333333333,4.90741133333333,0.00251476490449417,0.0,11.0416666666667,0.0,1.0
56,2012-02-28,6466.90417993069,2012-02-28,2012-02-29,41.0833333333333,5.41666666666667,-6.8625,1015.04166666667,174.75,296.666666666667,5.87963433333333,0.00227737774806645,0.0,9.58333333333333,0.0,1.0
57,2012-03-01,6486.92994221486,2012-03-01,2012-03-02,90.0833333333333,1.70833333333333,0.175,1002.375,20.2916666666667,97.0833333333333,9.94213758333334,0.0039102408395362,0.0,13.2916666666667,0.0,1.0
58,2012-03-02,6252.11125092767,2012-03-02,2012-03-03,81.375,-2.25,-5.04166666666667,1011.20833333333,75.125,252.5,3.90046608333333,0.00261499443167275,0.0,17.25,0.0,1.0
59,2012-03-03,5184.41665720753,2012-03-03,2012-03-04,85.7916666666667,4.79166666666667,2.45833333333333,993.666666666667,20.4583333333333,192.916666666667,4.305559,0.00465464309233402,0.0,10.2083333333333,0.0,0.5
60,2012-03-04,5172.28670279216,2012-03-04,2012-03-05,51.9583333333333,3.58333333333333,-5.5,994.416666666667,61.9583333333333,267.5,3.58796583333333,0.0025674677611509,0.0,11.4166666666667,0.0,0.5
61,2012-03-05,6620.57545460947,2012-03-05,2012-03-06,41.875,0.0833333333333333,-10.6083333333333,1005.45833333333,210.958333333333,290.833333333333,6.22685683333333,0.0015830189044946,0.0,14.9166666666667,0.0,1.0
62,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,
66,2012-03-10,4344.73994558491,2012-03-10,2012-03-11,57.125,1.29166666666667,-6.41666666666667,1020.0,169.125,199.166666666667,5.03472625,0.00232833090507723,0.0,13.7083333333333,0.0,0.4
67,,,,,,,,,,,,,,,,
68,2012-03-12,5636.66881035548,2012-03-12,2012-03-13,45.7916666666667,12.9791666666667,0.7875,1013.875,216.708333333333,222.083333333333,3.1250025,0.0041364787027186,2.6875,3.3625,0.0,0.4
69,2012-03-13,5460.55264822207,2012-03-13,2012-03-14,66.6666666666667,14.2916666666667,7.79166666666667,1006.79166666667,129.5,209.583333333333,4.62963333333333,0.00672071823171853,2.83333333333333,2.125,0.0,0.4
70,2012-03-14,5276.29385681823,2012-03-14,2012-03-15,87.3333333333333,6.70833333333333,4.65,1011.25,199.375,68.75,4.59491108333333,0.00533389851447215,0.0,8.29166666666667,0.0,0.4
