pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQFT,SQM,Price
0,0,0,0,0,0,0,10704800,0,0,0,0,0,0,0,5,0,7,0,260.9,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.252857,-71.11705,21 Beacon St #8A Boston 02108,2108,1,1,600,55.7418,2600
0,0.035,50.87,1.745,0,0.514,2.51,258957439,0,0,0,0,0,0,0,14,0,22,6,0,2.51,4.223,0,38,14,2.564,0,0,0.116,1.925,0,0.04,1.297,0,0,0,0,23.75,42.35807,-71.069046,2 Louisburg Sq Boston 02108,2108,4,3.5,,0,6800
0,0,60.99,2.671,0,2.116,6.639,142585895,0,0,0,0,0,0,0,4,0,32,10,0,6.639,1.739,0.053,51,20,4.167,0,0,0.099,0.349,0,0.096,0,0,0,0,0,18.16,42.358242,-71.06506,20 Mount Vernon St Boston 02108,2108,,1,,0,1850
0,0.007,47.61,1.75,0,1.369,11.12,216805996,0,0,0,0,0,0,0,11,0,29,10,0,11.12,0.391,0,41,19,4.051,0,0,0,3.799,0,0.352,0.115,0,0,0,3,27.67,42.35814,-71.0659,34 Mount Vernon St #2B Boston 02108,2108,,1,,0,2025
0,0,37.65,1.242,0,0.694,0.02,216929815,0,0,0,0,0,0.804,0,35,0,34,12,965.3,0.02,9.99,0,56,24,0.016,0,0,0,9.59,0,1.123,0,0,0,0,0,24.04,42.356464,-71.06176,6 Hamilton Pl #303 Boston 02108,2108,2,1,750,69.67725,3500
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.356266,-71.070145,71 Beacon St #2 Boston 02108,2108,2,2,1240,115.19972,5200
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.357437,-71.06869,47 Chestnut St #1 Boston 02108,2108,1,1,,0,2100
0,0.018,23.85,7.066,0,1.619,0.236,120456350,0,0,0,0,0,0.224,0,3,0,21,3,0,0.236,5.788,0.27,35,5,2.553,0,0,0,2.429,0,0.248,0.707,0.15,0,0,0,13.28,42.356564,-71.071106,104 Chestnut St #1 Boston 02108,2108,2,1,1500,139.3545,4200
0,0,60.99,2.671,0,2.116,6.639,142585895,0,0,0,0,0,0,0,4,0,32,10,0,6.639,1.739,0.053,51,20,4.167,0,0,0.099,0.349,0,0.096,0,0,0,0,0,18.16,42.357727,-71.065384,2 Joy St #7F Boston 02108,2108,1,1,675,62.709525,2450
0,0.005,11.29,5.07,0,0,0.298,84790141,0,0,0,0.661,0,0.09,0,0,0,33,8,0,0.298,17.96,0,43,20,0.093,0,0,0,2.768,0,0.201,0,0.44,0,0,0,49.75,42.357338,-71.067444,26 Chestnut St Boston 02108,2108,,1,500,46.4515,1800
0,0,60.99,2.671,0,2.116,6.639,142585895,0,0,0,0,0,0,0,4,0,32,10,0,6.639,1.739,0.053,51,20,4.167,0,0,0.099,0.349,0,0.096,0,0,0,0,0,18.16,42.357727,-71.065384,2 Joy St #7 Boston 02108,2108,1,1,670,62.24501,2450
0,0,0,0,0,0,0,10704800,0,0,0,0,0,0,0,5,0,7,0,260.9,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42.252857,-71.11705,21 Beacon St #5 I Boston 02108,2108,1,1,575,53.419225,2950
