,Latitude,Longitude,crime,Bathrooms,SQFT,Price,energySiteEUI
8684,42.351425,-71.16135,1,1.0,,2500.0,147.0
8685,42.339333,-71.155785,0,1.0,,2000.0,83.8
8686,42.34113,-71.15614,4,1.0,,1550.0,130.9
8687,42.342133,-71.142845,8,1.0,684,1950.0,276.4
8689,42.340187,-71.154106,2,2.0,1300,3750.0,144.1
8691,42.34032,-71.15424,2,2.0,1300,3600.0,144.1
8692,42.340187,-71.154106,2,2.0,,3450.0,144.1
8693,42.337032,-71.1498,3,4.0,1425,4000.0,42.4
8694,42.352444,-71.16439,2,1.0,,3200.0,85.9
8695,42.34032,-71.15424,2,2.0,1300,4450.0,144.1
8696,42.345024,-71.141525,7,1.0,,850.0,276.4
8697,42.345036,-71.1414,7,1.0,,875.0,276.4
8698,42.345024,-71.141525,7,1.0,,850.0,276.4
8699,42.345036,-71.1414,7,1.0,,875.0,276.4
8700,42.345036,-71.1414,7,1.0,,875.0,276.4
8703,42.34669,-71.13846,10,1.0,380,1500.0,58.6
8704,42.343586,-71.14442,3,1.0,350,1400.0,30.1
8711,42.349274,-71.14109,4,1.0,,1425.0,95.9
8712,42.33995,-71.15744,4,1.0,,3000.0,130.9
8715,42.346565,-71.137245,10,1.0,,1750.0,58.6
8716,42.339653,-71.15328,2,1.0,800,1900.0,144.1
8718,42.349228,-71.1573,2,4.0,,5900.0,108.8
8719,42.342323,-71.146866,0,1.0,,1900.0,30.1
8722,42.340508,-71.15516,4,1.0,,1450.0,130.9
8723,42.342552,-71.14492,3,1.0,,3100.0,30.1
8725,42.350445,-71.16095,3,1.0,,1550.0,87.7
8727,42.34937,-71.14916,1,1.0,800,1800.0,215.3
8729,42.351078,-71.161354,1,1.0,,1600.0,147.0
8730,42.339523,-71.1563,0,1.0,650,1675.0,83.8
8736,42.3555,-71.147095,6,1.0,,1700.0,199.2
8737,42.3444,-71.143135,7,1.0,900,1795.0,276.4
8738,42.337708,-71.15107,4,1.0,,2000.0,42.4
8739,42.3513,-71.16058,1,1.0,,2400.0,147.0
8741,42.355473,-71.14699,6,1.0,,1800.0,199.2
8742,42.340363,-71.14809,4,1.0,,1800.0,166.8
8743,42.352283,-71.167366,0,1.0,,1700.0,121.9
8744,42.355473,-71.14699,6,1.0,,1700.0,199.2
8745,42.33995,-71.15744,4,1.0,,3600.0,130.9
8748,42.355473,-71.14699,6,1.0,,1700.0,199.2
8749,42.35225,-71.057434,19,1.0,,2800.0,300.1
8750,42.355473,-71.14699,6,1.0,,1700.0,199.2
8751,42.33995,-71.15744,4,1.0,,3600.0,130.9
8752,42.352837,-71.1674,0,1.0,,2600.0,121.9
8753,42.339333,-71.155785,0,1.0,,2100.0,83.8
8754,42.35545,-71.14689,6,1.0,,1700.0,199.2
8756,42.340473,-71.15312,2,1.0,,1950.0,144.1
8757,42.340473,-71.15312,2,1.0,,1950.0,144.1
8758,42.337677,-71.151634,4,1.0,,1450.0,42.4
8759,42.3444,-71.143135,7,1.0,,2100.0,276.4
8761,42.342278,-71.14586,3,1.0,,1650.0,30.1
8762,42.35039,-71.162415,3,1.0,,3000.0,87.7
8763,42.338535,-71.150826,4,1.0,,1695.0,42.4
8764,42.340282,-71.147705,4,1.0,,1695.0,166.8
8766,42.34312,-71.1439,8,1.0,,2095.0,276.4
8767,42.342056,-71.146416,3,1.0,,1675.0,30.1
8769,42.3491,-71.14038,4,1.0,,1650.0,95.9
8770,42.340282,-71.147705,4,1.0,,1695.0,166.8
8773,42.342278,-71.14586,3,1.0,,1650.0,30.1
8775,42.33661,-71.150925,3,1.0,,1500.0,42.4
8776,42.34206,-71.14668,3,1.0,,1700.0,30.1
8777,42.349277,-71.16831,1,1.0,,2200.0,199.6
8778,42.343586,-71.14442,3,1.0,,1700.0,30.1
8780,42.34062,-71.160614,1,1.0,700,1795.0,88.6
8782,42.34891,-71.141136,4,1.0,,1625.0,95.9
8783,42.339825,-71.150475,8,1.0,,1735.0,162.5
8785,42.32637,-71.08296,13,1.0,,2100.0,51.2
8786,42.342056,-71.146416,3,1.0,,1695.0,30.1
8787,42.34023,-71.147766,4,1.0,,1695.0,166.8
8789,42.342793,-71.144264,3,1.0,,2095.0,30.1
8790,42.348915,-71.14115,4,1.0,,1595.0,95.9
8791,42.348328,-71.15724,0,1.0,,1750.0,51.8
8794,42.34277,-71.14428,3,1.0,,1425.0,30.1
8800,42.33937,-71.15155,4,1.0,,1525.0,42.4
8801,42.3385,-71.1558,0,1.0,,1375.0,83.8
8802,42.338966,-71.149666,4,1.0,,1550.0,42.4
8803,42.338955,-71.14982,4,1.0,,1550.0,42.4
8805,42.346565,-71.137245,10,1.0,,1525.0,58.6
8810,42.346565,-71.137245,10,1.0,,1450.0,58.6
8814,42.34915,-71.14096,4,1.0,,2100.0,95.9
8818,42.33696,-71.150536,3,2.0,,2800.0,42.4
8823,42.339333,-71.155785,0,1.0,,2400.0,83.8
8824,42.34189,-71.15352,3,2.0,,2600.0,135.7
8825,42.350067,-71.16184,3,1.0,,1950.0,87.7
8828,42.360294,-71.140434,3,1.0,,1700.0,103.1
8833,42.34975,-71.14076,4,1.0,,2060.0,95.9
8834,42.350002,-71.13973,4,1.0,,1250.0,95.9
8835,42.338753,-71.15068,4,1.0,,1950.0,42.4
8836,42.331833,-71.09652,4,2.0,,3500.0,62.5
8838,42.35047,-71.14035,4,1.0,,2475.0,95.9
8840,42.3623,-71.14001,0,2.0,,2950.0,103.1
8842,42.361065,-71.144684,1,2.0,,3600.0,146.2
8843,42.35103,-71.16059,1,1.0,,2500.0,147.0
8844,42.3518,-71.16498,2,1.0,,2000.0,85.9
8850,42.341988,-71.14799,0,1.0,,1750.0,30.1
8853,42.350597,-71.140915,4,1.0,,1930.0,95.9
8857,42.350002,-71.13973,4,1.0,,1250.0,95.9
8858,42.34639,-71.138626,10,1.0,,2300.0,58.6
8860,42.350597,-71.140915,4,1.0,,2575.0,95.9
8866,42.34975,-71.14076,4,1.0,,2180.0,95.9
8867,42.34975,-71.14076,4,1.0,,2130.0,95.9
8868,42.34975,-71.14076,4,1.0,,2180.0,95.9
8869,42.350597,-71.140915,4,1.0,,2625.0,95.9
8870,42.34975,-71.14076,4,1.0,,1930.0,95.9
8872,42.34035,-71.14843,4,1.0,,3550.0,166.8
8873,42.34411,-71.14214,8,1.0,,1395.0,276.4
8874,42.34378,-71.1473,0,1.0,,2550.0,30.1
8879,42.34001,-71.15016,8,1.0,,1850.0,162.5
8881,42.35051,-71.146935,1,2.0,,3650.0,215.3
8882,42.340363,-71.14809,4,1.0,,1650.0,166.8
8883,42.33672,-71.149765,3,1.0,,2200.0,42.4
8885,42.338963,-71.15155,4,1.0,,1950.0,42.4
8889,42.3411,-71.15366,2,1.0,,2700.0,144.1
8890,42.341343,-71.15161,8,2.0,,3400.0,162.5
8891,42.341343,-71.15161,8,2.0,,3400.0,162.5
8892,42.350597,-71.140915,4,1.0,,3155.0,95.9
8893,42.33971,-71.151184,8,1.0,,1950.0,162.5
8896,42.34078,-71.14983,8,1.0,,1650.0,162.5
8897,42.3412,-71.14733,4,1.0,,3000.0,166.8
8898,42.34975,-71.14076,4,1.0,,2475.0,95.9
8899,42.34975,-71.14076,4,1.0,,2575.0,95.9
8902,42.34266,-71.14443,3,1.0,,2250.0,30.1
8903,42.33935,-71.155075,0,1.0,,1800.0,83.8
8906,42.342346,-71.14502,3,1.0,,2900.0,30.1
8907,42.34455,-71.141846,7,1.0,,1800.0,276.4
8909,42.339973,-71.1536,2,1.0,,2900.0,144.1
8913,42.344,-71.1523,3,1.0,,3200.0,135.7
8918,42.34347,-71.14613,3,1.0,,1800.0,30.1
8919,42.342976,-71.142944,8,1.0,,1675.0,276.4
8920,42.33981,-71.15044,8,1.0,,2580.0,162.5
8921,42.34089,-71.15331,2,1.0,,1950.0,144.1
8922,42.34022,-71.15401,2,1.0,,1900.0,144.1
8925,42.344543,-71.14376,7,1.0,,1785.0,276.4
8926,42.337032,-71.1498,3,2.0,,2800.0,42.4
8927,42.342827,-71.14307,8,1.0,,1825.0,276.4
8928,42.340706,-71.15544,4,2.0,,4000.0,130.9
8929,42.340706,-71.15544,4,2.0,,4200.0,130.9
8931,42.33661,-71.150925,3,1.0,876,3000.0,42.4
8932,42.350796,-71.1555,2,1.0,,1475.0,108.8
8934,42.36023,-71.14592,1,1.0,,2200.0,146.2
8935,42.340607,-71.16101,1,1.0,1200,3000.0,88.6
8936,42.34312,-71.1439,8,1.0,,1795.0,276.4
8938,42.343,-71.14402,8,1.0,,1500.0,276.4
8939,42.348946,-71.14121,4,1.0,,1600.0,95.9
